plant_type,plant_age,temperature,humidity,sunlight_hours,soil_ph,soil_type,watering_frequency,fertilizer_type,fertilizer_frequency,pest_control,height,leaf_count,stem_thickness,health_rating,male_flowers,female_flowers
upo_smooth,57,28.2,66.5,7.4,6.0,silty,2,mixed,0,regular,291.1,45,6.5,3,47,20
patola,56,28.6,73.0,6.8,6.7,silty,6,organic,3,as-needed,291.9,49,11.0,3,22,7
patola,30,37.3,47.3,6.9,6.7,silty,5,chemical,3,regular,357.3,12,12.2,4,11,1
ampalaya_bilog,54,25.8,66.0,7.3,6.1,loamy,7,organic,2,regular,269.7,20,23.8,4,34,20
ampalaya_bilog,43,35.8,69.3,6.6,6.8,loamy,2,none,2,as-needed,270.6,36,14.7,3,7,8
ampalaya_bilog,66,26.2,79.4,5.4,6.8,loamy,4,mixed,0,none,235.0,73,9.8,3,16,3
ampalaya_bilog,26,27.2,89.2,3.8,6.1,loamy,2,organic,1,none,247.6,68,12.5,5,10,2
upo_smooth,66,25.2,94.2,6.7,7.2,loamy,6,organic,4,intensive,366.8,53,8.0,5,38,23
upo_smooth,70,25.7,69.5,6.0,5.7,clay,6,chemical,2,none,361.6,17,12.0,3,22,10
upo_smooth,64,26.3,76.2,6.7,6.6,silty,4,organic,2,regular,253.6,23,5.7,4,61,29
upo_smooth,33,24.1,66.8,7.7,6.2,loamy,4,none,0,regular,378.6,24,16.9,3,19,16
ampalaya_bilog,49,19.9,90.4,6.3,6.3,silty,5,chemical,3,none,151.7,42,9.5,4,16,8
ampalaya_bilog,55,30.8,65.9,6.4,5.2,clay,5,organic,2,as-needed,290.9,46,5.6,5,41,16
ampalaya_bilog,40,24.8,73.3,7.3,6.3,loamy,3,chemical,1,none,314.1,31,8.9,3,22,4
patola,65,29.7,63.4,4.6,6.4,loamy,6,organic,0,as-needed,176.9,31,24.5,4,35,16
patola,64,19.3,50.7,6.2,6.3,clay,7,organic,0,intensive,174.0,20,10.9,2,14,8
